	time	resistance	FanCount	dTemp
0	49.0	564.0	0.0	3.2241004460099134
1	447.0	565.0	1.0	3.3063169177315217
2	679.0	562.0	11.0	3.0599007474219775
3	1276.0	564.0	11.0	3.2241004460099134
4	1508.0	563.0	12.0	3.141961972944216
5	1739.0	562.0	11.0	3.0599007474219775
6	2026.0	562.0	11.0	3.0599007474219775
7	2605.0	559.0	12.0	2.8141730916225924
8	2835.0	561.0	10.0	2.977916021456167
9	3066.0	559.0	11.0	2.8141730916225924
10	3297.0	558.0	12.0	2.7324134070337323
11	3529.0	557.0	12.0	2.6507272604777086
12	3760.0	557.0	12.0	2.6507272604777086
13	3991.0	554.0	13.0	2.406102733576631
14	4224.0	555.0	12.0	2.4875726524277297
15	4454.0	552.0	11.0	2.243374043896324
16	4685.0	553.0	12.0	2.324703437964615
17	4917.0	551.0	12.0	2.162113832399598
18	5147.0	552.0	12.0	2.243374043896324
19	5378.0	551.0	12.0	2.162113832399598
20	5608.0	549.0	12.0	1.9997980946171765
21	5839.0	548.0	12.0	1.9187411436577122
22	6071.0	549.0	12.0	1.9997980946171765
23	6301.0	548.0	12.0	1.9187411436577122
24	6532.0	548.0	12.0	1.9187411436577122
25	6762.0	547.0	12.0	1.8377505258469
26	6993.0	546.0	13.0	1.7568255352564393
27	7224.0	545.0	13.0	1.6759654684544785
28	7455.0	545.0	13.0	1.6759654684544785
29	7686.0	544.0	13.0	1.595169624468781
30	7917.0	543.0	13.0	1.5144373047498334
31	8150.0	542.0	12.0	1.4337678131349776
32	8381.0	544.0	12.0	1.595169624468781
33	8612.0	539.0	13.0	1.1921293803305275
34	8843.0	539.0	13.0	1.1921293803305275
35	9074.0	538.0	12.0	1.111704285979215
36	9305.0	537.0	12.0	1.031338573463188
37	9535.0	532.0	12.0	0.6303769218321236
38	9766.0	538.0	12.0	1.111704285979215
39	9998.0	537.0	13.0	1.031338573463188
40	10230.0	537.0	12.0	1.031338573463188
41	10462.0	532.0	13.0	0.6303769218321236
42	10693.0	532.0	12.0	0.6303769218321236
43	10925.0	530.0	12.0	0.4703842046961313
44	11155.0	533.0	12.0	0.7104559217884798
45	11387.0	535.0	13.0	0.8707825657076569
46	11618.0	534.0	12.0	0.7905909116663565
47	11850.0	528.0	13.0	0.31060740577061097
48	12081.0	528.0	13.0	0.31060740577061097
49	12312.0	529.0	12.0	0.3904691489111656
50	12544.0	530.0	12.0	0.4703842046961313
51	12774.0	530.0	13.0	0.4703842046961313
52	13006.0	532.0	12.0	0.6303769218321236
53	13237.0	525.0	13.0	0.07133541573023194
54	13468.0	525.0	13.0	0.07133541573023194
55	13699.0	524.0	12.0	-0.008319704266853023
56	13929.0	524.0	12.0	-0.008319704266853023
57	14161.0	529.0	12.0	0.3904691489111656
58	14393.0	527.0	12.0	0.23079831071106582
59	14626.0	522.0	13.0	-0.16748057637391867
60	14857.0	521.0	12.0	-0.24698763822283354
61	15088.0	525.0	12.0	0.07133541573023194
62	15320.0	524.0	13.0	-0.008319704266853023
63	15551.0	525.0	12.0	0.07133541573023194
64	15782.0	522.0	13.0	-0.16748057637391867
65	16014.0	520.0	12.0	-0.3264466543353137
66	16245.0	525.0	12.0	0.07133541573023194
67	16477.0	525.0	13.0	0.07133541573023194
68	16707.0	524.0	12.0	-0.008319704266853023
69	16939.0	518.0	13.0	-0.4852231508842806
70	17170.0	517.0	13.0	-0.5645419281696036
71	17402.0	524.0	12.0	-0.008319704266853023
72	17634.0	523.0	13.0	-0.08792481639932248
73	17866.0	519.0	13.0	-0.4058582754896065
74	18098.0	516.0	13.0	-0.6438152534788628
75	18329.0	522.0	12.0	-0.16748057637391867
76	18561.0	522.0	12.0	-0.16748057637391867
77	18791.0	519.0	13.0	-0.4058582754896065
78	19022.0	519.0	12.0	-0.4058582754896065
79	19254.0	515.0	13.0	-0.7230437714594018
80	19485.0	514.0	12.0	-0.8022281253035999
81	19717.0	518.0	12.0	-0.4852231508842806
82	19948.0	518.0	13.0	-0.4852231508842806
83	20180.0	516.0	12.0	-0.6438152534788628
84	20415.0	516.0	13.0	-0.6438152534788628
85	20647.0	519.0	12.0	-0.4058582754896065
86	20879.0	519.0	13.0	-0.4058582754896065
87	21111.0	515.0	12.0	-0.7230437714594018
88	21342.0	512.0	13.0	-0.9604669062625248
89	21573.0	515.0	12.0	-0.7230437714594018
90	21805.0	512.0	12.0	-0.9604669062625248
91	22035.0	515.0	12.0	-0.7230437714594018
92	22267.0	517.0	13.0	-0.5645419281696036
93	22498.0	511.0	13.0	-1.0395226127637898
94	22730.0	511.0	13.0	-1.0395226127637898
95	22962.0	517.0	12.0	-0.5645419281696036
96	23192.0	514.0	12.0	-0.8022281253035999
97	23424.0	515.0	12.0	-0.7230437714594018
98	23654.0	513.0	13.0	-0.8813689567797383
99	23886.0	512.0	13.0	-0.9604669062625248
100	24118.0	513.0	12.0	-0.8813689567797383
101	24349.0	516.0	13.0	-0.6438152534788628
102	24581.0	509.0	13.0	-1.1975098462372102
103	24812.0	509.0	12.0	-1.1975098462372102
104	25044.0	512.0	12.0	-0.9604669062625248
105	25276.0	511.0	12.0	-1.0395226127637898
106	25508.0	511.0	13.0	-1.0395226127637898
107	25740.0	509.0	12.0	-1.1975098462372102
108	26006.0	514.0	12.0	-0.8022281253035999
109	26238.0	510.0	13.0	-1.1185367139629534
110	26470.0	507.0	12.0	-1.355335743189869
111	26701.0	511.0	12.0	-1.0395226127637898
112	26933.0	514.0	12.0	-0.8022281253035999
113	27164.0	509.0	13.0	-1.1975098462372102
114	27396.0	507.0	12.0	-1.355335743189869
115	27627.0	510.0	12.0	-1.1185367139629534
