	duty	rpm
0	1.0	0.0
1	2.0	0.0
2	3.0	0.0
3	4.0	0.0
4	5.0	0.0
5	6.0	0.0
6	7.0	0.0
7	8.0	0.0
8	9.0	0.0
9	10.0	0.0
10	11.0	0.0
11	12.0	0.0
12	13.0	0.0
13	14.0	0.0
14	15.0	120.0
15	16.0	360.0
16	17.0	330.0
17	18.0	270.0
18	19.0	270.0
19	20.0	240.0
20	21.0	240.0
21	22.0	240.0
22	23.0	210.0
23	24.0	240.0
24	25.0	210.0
25	26.0	240.0
26	27.0	210.0
27	28.0	240.0
28	29.0	210.0
29	30.0	240.0
30	31.0	240.0
31	32.0	270.0
32	33.0	270.0
33	34.0	270.0
34	35.0	270.0
35	36.0	300.0
36	37.0	300.0
37	38.0	330.0
38	39.0	300.0
39	40.0	330.0
40	41.0	360.0
41	42.0	360.0
42	43.0	360.0
43	44.0	360.0
44	45.0	390.0
45	46.0	360.0
46	47.0	420.0
47	48.0	390.0
48	49.0	420.0
49	50.0	420.0
50	51.0	420.0
51	52.0	450.0
52	53.0	420.0
53	54.0	480.0
54	55.0	450.0
55	56.0	480.0
56	57.0	450.0
57	58.0	510.0
58	59.0	480.0
59	60.0	510.0
60	61.0	510.0
61	62.0	540.0
62	63.0	540.0
63	64.0	570.0
64	65.0	570.0
65	66.0	600.0
66	67.0	600.0
67	68.0	630.0
68	69.0	630.0
69	70.0	630.0
70	71.0	630.0
71	72.0	660.0
72	73.0	690.0
73	74.0	660.0
74	75.0	690.0
75	76.0	690.0
76	77.0	690.0
77	78.0	720.0
78	79.0	720.0
79	80.0	750.0
80	81.0	720.0
81	82.0	750.0
82	83.0	780.0
83	84.0	750.0
84	85.0	780.0
85	86.0	780.0
86	87.0	780.0
87	88.0	810.0
88	89.0	810.0
89	90.0	810.0
90	91.0	840.0
91	92.0	840.0
92	93.0	840.0
93	94.0	840.0
94	95.0	870.0
95	96.0	840.0
96	97.0	900.0
97	98.0	870.0
98	99.0	900.0
99	100.0	900.0
100	101.0	900.0
101	102.0	900.0
102	103.0	930.0
103	104.0	930.0
104	105.0	960.0
105	106.0	930.0
106	107.0	960.0
107	108.0	960.0
108	109.0	960.0
109	110.0	990.0
110	111.0	990.0
111	112.0	990.0
112	113.0	990.0
113	114.0	1020.0
114	115.0	1020.0
115	116.0	1020.0
116	117.0	1050.0
117	118.0	1020.0
118	119.0	1050.0
119	120.0	1050.0
120	121.0	1080.0
121	122.0	1080.0
122	123.0	1080.0
123	124.0	1080.0
124	125.0	1080.0
125	126.0	1110.0
126	127.0	1110.0
127	128.0	1110.0
128	129.0	1110.0
129	130.0	1140.0
130	131.0	1140.0
131	132.0	1140.0
132	133.0	1140.0
133	134.0	1170.0
134	135.0	1170.0
135	136.0	1170.0
136	137.0	1170.0
137	138.0	1170.0
138	139.0	1200.0
139	140.0	1200.0
140	141.0	1200.0
141	142.0	1230.0
142	143.0	1200.0
143	144.0	1230.0
144	145.0	1260.0
145	146.0	1230.0
146	147.0	1230.0
147	148.0	1260.0
148	149.0	1260.0
149	150.0	1290.0
150	151.0	1260.0
151	152.0	1290.0
152	153.0	1290.0
153	154.0	1290.0
154	155.0	1290.0
155	156.0	1320.0
156	157.0	1320.0
157	158.0	1320.0
158	159.0	1320.0
159	160.0	1320.0
160	161.0	1350.0
161	162.0	1320.0
162	163.0	1350.0
163	164.0	1350.0
164	165.0	1380.0
165	166.0	1350.0
166	167.0	1380.0
167	168.0	1380.0
168	169.0	1410.0
169	170.0	1380.0
170	171.0	1410.0
171	172.0	1410.0
172	173.0	1410.0
173	174.0	1410.0
174	175.0	1410.0
175	176.0	1440.0
176	177.0	1440.0
177	178.0	1440.0
178	179.0	1440.0
179	180.0	1440.0
180	181.0	1470.0
181	182.0	1470.0
182	183.0	1440.0
183	184.0	1500.0
184	185.0	1470.0
185	186.0	1470.0
186	187.0	1500.0
187	188.0	1500.0
188	189.0	1500.0
189	190.0	1500.0
190	191.0	1500.0
191	192.0	1530.0
192	193.0	1500.0
193	194.0	1530.0
194	195.0	1530.0
195	196.0	1530.0
196	197.0	1560.0
197	198.0	1530.0
198	199.0	1560.0
199	200.0	1560.0
200	201.0	1560.0
201	202.0	1590.0
202	203.0	1560.0
203	204.0	1590.0
204	205.0	1590.0
205	206.0	1590.0
206	207.0	1590.0
207	208.0	1590.0
208	209.0	1620.0
209	210.0	1620.0
210	211.0	1590.0
211	212.0	1650.0
212	213.0	1620.0
213	214.0	1620.0
214	215.0	1650.0
215	216.0	1620.0
216	217.0	1650.0
217	218.0	1650.0
218	219.0	1650.0
219	220.0	1680.0
220	221.0	1650.0
221	222.0	1680.0
222	223.0	1680.0
223	224.0	1680.0
224	225.0	1680.0
225	226.0	1680.0
226	227.0	1680.0
227	228.0	1710.0
228	229.0	1680.0
229	230.0	1710.0
230	231.0	1710.0
231	232.0	1710.0
232	233.0	1740.0
233	234.0	1710.0
234	235.0	1740.0
235	236.0	1710.0
236	237.0	1740.0
237	238.0	1740.0
238	239.0	1740.0
239	240.0	1770.0
240	241.0	1740.0
241	242.0	1740.0
242	243.0	1770.0
243	244.0	1770.0
244	245.0	1770.0
245	246.0	1770.0
246	247.0	1770.0
247	248.0	1800.0
248	249.0	1770.0
249	250.0	1800.0
250	251.0	1800.0
251	252.0	1800.0
252	253.0	1830.0
253	254.0	1830.0
254	255.0	1800.0
255	256.0	1830.0
